data,time,pred time,memory usage,cpu usage,accuracy,precision,recall,f1_score,conf_matrix
Weighted Average Hybrid .3 : .7 numpy,1710341412.8269904,1.8805198669433594,13.1,22.1,0.9319354838709677,0.9459580169718624,0.915496001728982,0.9304777594728171,"[[4431  242]
 [ 391 4236]]"
Weighted Average Hybrid .3 : .7 keras,1710341414.6893024,1.8172407150268555,13.1,56.1,0.9319354838709677,0.9459580169718624,0.915496001728982,0.9304777594728171,"[[4431  242]
 [ 391 4236]]"
Weighted Average Hybrid2 .15:.85,1710341416.402443,1.6660354137420654,13.1,57.6,0.9343010752688172,0.954093170511081,0.9118219148476334,0.9324787269311525,"[[4470  203]
 [ 408 4219]]"
Weighted Average Hybrid2 1:1 ,1710341418.1502366,1.7041618824005127,13.1,63.0,0.8893548387096775,0.8261421319796954,0.9848714069591528,0.8985507246376812,"[[3714  959]
 [  70 4557]]"
Concatenate  Hybrid ,1710341423.751426,2.1127583980560303,13.0,70.5,0.9294623655913978,0.9336099585062241,0.9239247892803112,0.9287421247012818,"[[4369  304]
 [ 352 4275]]"
Maximum  Hybrid ,1710341426.123603,2.333055019378662,12.9,64.2,0.9138709677419354,0.8850644122383253,0.9502917657229306,0.916519020323085,"[[4102  571]
 [ 230 4397]]"
Minimum  Hybrid ,1710341428.6250753,2.4566564559936523,12.9,44.8,0.9278494623655914,0.9625818521983162,0.8895612708018155,0.9246321464674828,"[[4513  160]
 [ 511 4116]]"
Add Hybrid ,1710341431.0725303,2.4020769596099854,12.9,59.3,0.8893548387096775,0.8261421319796954,0.9848714069591528,0.8985507246376812,"[[3714  959]
 [  70 4557]]"
Subtract Hybrid ,1710341433.617036,2.488483190536499,13.1,57.9,0.8893548387096775,0.8261421319796954,0.9848714069591528,0.8985507246376812,"[[3714  959]
 [  70 4557]]"
Multiply Hybrid,1710341436.983642,3.3118255138397217,13.1,66.5,0.9193548387096774,0.9792336217552534,0.8560622433542252,0.9135147601476015,"[[4589   84]
 [ 666 3961]]"
